M23/1	
θ/2θ, °	Intensity, cps
3	114320.6015625
3.00999999046326	111618.859375
3.01999998092651	114022.1875
3.02999997138977	115261.28125
3.03999996185303	116546.984375
3.04999995231628	115215.40625
3.05999994277954	114886.125
3.0699999332428	113767.8828125
3.07999992370605	111039.875
3.08999991416931	105535.7109375
3.09999990463257	106512.9453125
3.10999989509583	106920.9140625
3.11999988555908	109230.0234375
3.13000011444092	107739.96875
3.14000010490417	105632.9453125
3.15000009536743	104921.3359375
3.16000008583069	103951.0390625
3.17000007629395	106967.0625
3.1800000667572	103786.953125
3.19000005722046	104357.90625
3.20000004768372	104211.1796875
3.21000003814697	101257.7109375
3.22000002861023	101829.2265625
3.23000001907349	105965.6875
3.24000000953674	105040.015625
3.25	102154.359375
3.25999999046326	101679.1171875
3.26999998092651	100547.875
3.27999997138977	99809.5625
3.28999996185303	99966.9453125
3.29999995231628	99610.9765625
3.30999994277954	99204.53125
3.3199999332428	99719.8359375
3.32999992370605	100390.3515625
3.33999991416931	99169.2265625
3.34999990463257	99998.03125
3.35999989509583	101717.578125
3.36999988555908	100106.2265625
3.38000011444092	98515.2734375
3.39000010490417	97102.1171875
3.40000009536743	94395.3828125
3.41000008583069	91091.0625
3.42000007629395	92967.5859375
3.4300000667572	93861.4921875
3.44000005722046	90623.9765625
3.45000004768372	93088.65625
3.46000003814697	97692.296875
3.47000002861023	95882.4296875
3.48000001907349	94573.9765625
3.49000000953674	91177.8515625
3.5	91341.5078125
3.50999999046326	90035.8515625
3.51999998092651	89943.8515625
3.52999997138977	90830.7109375
3.53999996185303	89424.3046875
3.54999995231628	88912.4296875
3.55999994277954	90233.5078125
3.5699999332428	89943.46875
3.57999992370605	92234.6875
3.58999991416931	89960.4453125
3.59999990463257	84548.046875
3.60999989509583	88144.921875
3.61999988555908	89984.328125
3.63000011444092	85356.171875
3.64000010490417	83632.265625
3.65000009536743	86494.0625
3.66000008583069	88294.7265625
3.67000007629395	84786.8203125
3.6800000667572	88038.125
3.69000005722046	87641.5703125
3.70000004768372	86490.59375
3.71000003814697	86417.453125
3.72000002861023	84684.4375
3.73000001907349	85669.4609375
3.74000000953674	84495.9609375
3.75	82422.9453125
3.75999999046326	85036.34375
3.76999998092651	84691.65625
3.77999997138977	83665.328125
3.78999996185303	86618.5234375
3.79999995231628	85607.8984375
3.80999994277954	81233.9609375
3.8199999332428	79110.5859375
3.82999992370605	81145.46875
3.83999991416931	80566.84375
3.84999990463257	81448.9921875
3.85999989509583	83963.4453125
3.86999988555908	82917.1484375
3.88000011444092	83152.4765625
3.89000010490417	83180.4140625
3.90000009536743	83524.4921875
3.91000008583069	79411.6875
3.92000007629395	80499.2578125
3.9300000667572	79396.2421875
3.94000005722046	78415.0234375
3.95000004768372	78296.4609375
3.96000003814697	76779.9140625
3.97000002861023	76712.953125
3.98000001907349	80543.9375
3.99000000953674	79896.3515625
4	76714.546875
4.01000022888184	74898.8671875
4.01999998092651	79012.9453125
4.03000020980835	77337.0546875
4.03999996185303	75460.8671875
4.05000019073486	73365.296875
4.05999994277954	74821.0703125
4.07000017166138	80758.0859375
4.07999992370605	79245.3515625
4.09000015258789	79237.21875
4.09999990463257	77764.6015625
4.1100001335144	76208.7265625
4.11999988555908	77252.78125
4.13000011444092	76576.6015625
4.1399998664856	76558.7109375
4.15000009536743	77916.75
4.15999984741211	74989.34375
4.17000007629395	73815.3828125
4.17999982833862	73415.9375
4.19000005722046	73574.8125
4.19999980926514	73103.0859375
4.21000003814697	74418.8359375
4.21999979019165	76311.125
4.23000001907349	73726.3203125
4.23999977111816	73012.2890625
4.25	73464.5625
4.26000022888184	72603.09375
4.26999998092651	70731.859375
4.28000020980835	73086.96875
4.28999996185303	71236.9296875
4.30000019073486	69985.8046875
4.30999994277954	71448.3125
4.32000017166138	70521.78125
4.32999992370605	72314.8046875
4.34000015258789	68999.0546875
4.34999990463257	69505.359375
4.3600001335144	70233.7421875
4.36999988555908	69657.46875
4.38000011444092	69704.203125
4.3899998664856	72207.6328125
4.40000009536743	71861.0703125
4.40999984741211	69687.1484375
4.42000007629395	70205.4921875
4.42999982833862	68529.828125
4.44000005722046	68771.765625
4.44999980926514	73452.828125
4.46000003814697	72776.8046875
4.46999979019165	70808.046875
4.48000001907349	68903.453125
4.48999977111816	68958.1640625
4.5	67949.8125
4.51000022888184	67438.4609375
4.51999998092651	68267.7890625
4.53000020980835	68814.65625
4.53999996185303	69160.1796875
4.55000019073486	68002.2421875
4.55999994277954	66820.4296875
4.57000017166138	68857.34375
4.57999992370605	69689.265625
4.59000015258789	66422.0546875
4.59999990463257	66173.7578125
4.6100001335144	66378.0625
4.61999988555908	67716.78125
4.63000011444092	66975.5859375
4.6399998664856	67370.625
4.65000009536743	69287.40625
4.65999984741211	69140.265625
4.67000007629395	68674.2109375
4.67999982833862	69716.125
4.69000005722046	66892.6796875
4.69999980926514	67527.359375
4.71000003814697	67049.6640625
4.71999979019165	65151.26953125
4.73000001907349	64256.57421875
4.73999977111816	66057.59375
4.75	66854.53125
4.76000022888184	65544.234375
4.76999998092651	65944.5390625
4.78000020980835	63632.109375
4.78999996185303	64404.18359375
4.80000019073486	64686.25390625
4.80999994277954	66374.2890625
4.82000017166138	66349.3984375
4.82999992370605	64796.66796875
4.84000015258789	64075.40234375
4.84999990463257	65819.75
4.8600001335144	66361.3515625
4.86999988555908	64067.05078125
4.88000011444092	64076.30859375
4.8899998664856	65732.921875
4.90000009536743	65206.65625
4.90999984741211	63002.30078125
4.92000007629395	62775.53515625
4.92999982833862	64109.1015625
4.94000005722046	62907.31640625
4.94999980926514	64217.64453125
4.96000003814697	64191.33984375
4.96999979019165	61145.4296875
4.98000001907349	59613.4375
4.98999977111816	61623.53125
5	63383.22265625
5.01000022888184	65217.125
5.01999998092651	64531.04296875
5.03000020980835	63776.09375
5.03999996185303	64576.015625
5.05000019073486	63632.95703125
5.05999994277954	63736.25390625
5.07000017166138	63708.02734375
5.07999992370605	63252.67578125
5.09000015258789	61053.0234375
5.09999990463257	58917.73828125
5.1100001335144	59588.13671875
5.11999988555908	60817.80078125
5.13000011444092	60868.0859375
5.1399998664856	60798.12109375
5.15000009536743	62358.2421875
5.15999984741211	60488.1015625
5.17000007629395	61874.86328125
5.17999982833862	61319.125
5.19000005722046	59144.53125
5.19999980926514	61718.734375
5.21000003814697	60385.8515625
5.21999979019165	59732.84765625
5.23000001907349	61522.703125
5.23999977111816	61027.22265625
5.25	58840.0546875
5.26000022888184	59268.63671875
5.26999998092651	58650.1953125
5.28000020980835	58842.0390625
5.28999996185303	60375.796875
5.30000019073486	59992.7890625
5.30999994277954	60090.23046875
5.32000017166138	59887.9921875
5.32999992370605	61156.171875
5.34000015258789	60328.74609375
5.34999990463257	59956.19140625
5.3600001335144	60430.56640625
5.36999988555908	59811.625
5.38000011444092	59715.02734375
5.3899998664856	59337.65234375
5.40000009536743	56755.87890625
5.40999984741211	57313.41015625
5.42000007629395	57083.41015625
5.42999982833862	58071.73046875
5.44000005722046	56895.6171875
5.44999980926514	57406.41796875
5.46000003814697	57554.3515625
5.46999979019165	58527.57421875
5.48000001907349	58326.2109375
5.48999977111816	58461.2734375
5.5	57326.3359375
5.51000022888184	58148.375
5.51999998092651	58652.09375
5.53000020980835	58785.88671875
5.53999996185303	59779.1953125
5.55000019073486	60103.18359375
5.55999994277954	59309.9375
5.57000017166138	54887.98828125
5.57999992370605	55240.03125
5.59000015258789	54478.828125
5.59999990463257	54668.31640625
5.6100001335144	55584.5625
5.61999988555908	58104.89453125
5.63000011444092	58639.51953125
5.6399998664856	56067.61328125
5.65000009536743	54511.54296875
5.65999984741211	56214.8828125
5.67000007629395	55189.5859375
5.67999982833862	57074.48828125
5.69000005722046	57335.1328125
5.69999980926514	54774.37890625
5.71000003814697	55253.68359375
5.71999979019165	55858.51953125
5.73000001907349	55711.69140625
5.73999977111816	56718.94921875
5.75	56020.921875
5.76000022888184	54599.8203125
5.76999998092651	55130.671875
5.78000020980835	58477.265625
5.78999996185303	57494.27734375
5.80000019073486	57508.17578125
5.80999994277954	56311.2734375
5.82000017166138	55889.2421875
5.82999992370605	56101.17578125
5.84000015258789	54575.45703125
5.84999990463257	54342.74609375
5.8600001335144	53133.59765625
5.86999988555908	53748.69921875
5.88000011444092	54306.69140625
