M27_Mo2C/1	
θ/2θ, °	Intensity, cps
3	193915.203125
3.00999999046326	193244.234375
3.01999998092651	191859.34375
3.02999997138977	193978.4375
3.03999996185303	194099.96875
3.04999995231628	191152.796875
3.05999994277954	189486.734375
3.0699999332428	186730.75
3.07999992370605	186122.546875
3.08999991416931	184381.4375
3.09999990463257	178520.53125
3.10999989509583	179735.59375
3.11999988555908	182493.578125
3.13000011444092	179648.578125
3.14000010490417	177796.234375
3.15000009536743	177544.59375
3.16000008583069	175393.9375
3.17000007629395	171447.5
3.1800000667572	169546.765625
3.19000005722046	170204.203125
3.20000004768372	170078.875
3.21000003814697	165760.765625
3.22000002861023	160851.265625
3.23000001907349	162757.515625
3.24000000953674	162883.203125
3.25	163688.078125
3.25999999046326	164609.015625
3.26999998092651	161044.84375
3.27999997138977	156965.34375
3.28999996185303	157331.3125
3.29999995231628	158040.390625
3.30999994277954	155648.515625
3.3199999332428	155809.359375
3.32999992370605	156265.109375
3.33999991416931	153941.6875
3.34999990463257	154246.96875
3.35999989509583	152630.6875
3.36999988555908	151023.984375
3.38000011444092	149838.34375
3.39000010490417	149503.9375
3.40000009536743	146365.21875
3.41000008583069	149148.09375
3.42000007629395	151274
3.4300000667572	148466.53125
3.44000005722046	145236.796875
3.45000004768372	141537.703125
3.46000003814697	142652.765625
3.47000002861023	139774.546875
3.48000001907349	135719.796875
3.49000000953674	134814.59375
3.5	136473.296875
3.50999999046326	138471.4375
3.51999998092651	136334.40625
3.52999997138977	136209.6875
3.53999996185303	136531.234375
3.54999995231628	136502.484375
3.55999994277954	136659.953125
3.5699999332428	133493.640625
3.57999992370605	131746.328125
3.58999991416931	131104.359375
3.59999990463257	133804.890625
3.60999989509583	130763.078125
3.61999988555908	127950.90625
3.63000011444092	127638.4375
3.64000010490417	126981.3671875
3.65000009536743	128698
3.66000008583069	127908.2109375
3.67000007629395	126265.6796875
3.6800000667572	126085.9453125
3.69000005722046	125013.6015625
3.70000004768372	123498.734375
3.71000003814697	122773.4375
3.72000002861023	124813.1484375
3.73000001907349	123531.7890625
3.74000000953674	124085.3828125
3.75	124445.6796875
3.75999999046326	122419.9609375
3.76999998092651	118696.5234375
3.77999997138977	116303.53125
3.78999996185303	115914.6953125
3.79999995231628	115506.1640625
3.80999994277954	114934.015625
3.8199999332428	114357.9765625
3.82999992370605	114919.734375
3.83999991416931	114220.6171875
3.84999990463257	113176.421875
3.85999989509583	113591.4296875
3.86999988555908	112463.109375
3.88000011444092	111887.8828125
3.89000010490417	112401.484375
3.90000009536743	111231.484375
3.91000008583069	110896.7421875
3.92000007629395	110414.078125
3.9300000667572	110746.1484375
3.94000005722046	109728.4609375
3.95000004768372	112778.1953125
3.96000003814697	112172.5703125
3.97000002861023	110021.984375
3.98000001907349	108865.734375
3.99000000953674	108198.125
4	105881.359375
4.01000022888184	104192.7890625
4.01999998092651	104827.0546875
4.03000020980835	106990.578125
4.03999996185303	103591.0078125
4.05000019073486	103067.5390625
4.05999994277954	101623.8515625
4.07000017166138	101340.78125
4.07999992370605	102126.8828125
4.09000015258789	102748.859375
4.09999990463257	103395.1875
4.1100001335144	100371.34375
4.11999988555908	100210.4765625
4.13000011444092	98131.640625
4.1399998664856	97665.3359375
4.15000009536743	98523.625
4.15999984741211	99163.1640625
4.17000007629395	97794.53125
4.17999982833862	97114.1328125
4.19000005722046	96393.6484375
4.19999980926514	95941.4765625
4.21000003814697	97580.421875
4.21999979019165	97485.1875
4.23000001907349	96745.1796875
4.23999977111816	96464.609375
4.25	94681.7265625
4.26000022888184	93554.5390625
4.26999998092651	94630.5859375
4.28000020980835	96743.78125
4.28999996185303	95632.3828125
4.30000019073486	92951.1328125
4.30999994277954	94942.2109375
4.32000017166138	96067.078125
4.32999992370605	91959.578125
4.34000015258789	90103.2109375
4.34999990463257	92863.3828125
4.3600001335144	93197.2109375
4.36999988555908	91462.5859375
4.38000011444092	89664.546875
4.3899998664856	89985.4453125
4.40000009536743	89567.625
4.40999984741211	89165.46875
4.42000007629395	87885.578125
4.42999982833862	87177.1640625
4.44000005722046	89433.25
4.44999980926514	88230.7109375
4.46000003814697	86580.2734375
4.46999979019165	86306.671875
4.48000001907349	87316.75
4.48999977111816	88705.9765625
4.5	85768.625
4.51000022888184	84501.671875
4.51999998092651	86923.140625
