2thetadeg,d-value,intx,sigx,count
0.001,88267.70067,0,0,0
0.011,8025.58304,0,0,0
0.021,4203.90795,0,0,0
0.03099,2847.8161,0,0,0
0.04099,2153.22972,0,0,0
0.05099,1731.02925,0,0,0
0.06099,1447.25478,0,0,0
0.07099,1243.41659,0,0,0
0.08099,1089.90871,0,0,0
0.09098,970.13877,0,0,0
0.10098,874.08561,0,0,0
0.11098,795.3393,0,0,0
0.12098,729.6089,0,0,0
0.13098,673.91366,0,0,0
0.14098,626.11844,0,0,0
0.15097,584.65371,0,0,0
0.16097,548.33988,0,0,0
0.17097,516.27327,0,0,0
0.18097,487.74993,0,0,0
0.19097,462.21333,0,0,0
0.20097,439.21769,0,0,0
0.21096,418.40172,0,0,0
0.22096,399.46955,0,0,0
0.23096,382.17653,0,0,0
0.24096,366.31862,0,0,0
0.25096,351.72428,0,0,0
0.26096,338.24829,0,0,0
0.27095,325.76683,0,0,0
0.28095,314.17373,0,0,0
0.29095,303.37742,0,0,0
0.30095,293.29846,0,0,0
0.31095,283.86767,0,0,0
0.32095,275.02446,0,0,0
0.33094,266.71559,0,0,0
0.34094,258.89405,0,0,0
0.35094,251.51818,0,0,0
0.36094,244.55094,0,0,0
0.37094,237.95929,0,0,0
0.38094,231.71367,0,0,0
0.39093,225.78751,0,0,0
0.40093,220.15693,0,0,0
0.41093,214.80033,0,0,0
0.42093,209.69821,0,0,0
0.43093,204.83285,0,0,0
0.44092,200.18814,0,0,0
0.45092,195.7494,0,0,0
0.46092,191.50323,0,0,0
0.47092,187.43737,0,0,0
0.48092,183.54057,0,0,0
0.49092,179.80249,0,0,0
0.50091,176.21364,0,0,0
0.51091,172.76526,0,0,0
0.52091,169.44925,0,0,0
0.53091,166.25814,0,0,0
0.54091,163.185,0,0,0
0.55091,160.22341,0,0,0
0.5609,157.3674,0,0,0
0.5709,154.61142,0,0,0
0.5809,151.95032,0,0,0
0.5909,149.37927,0,0,0
0.6009,146.89378,0,0,0
0.6109,144.48965,0,0,0
0.62089,142.16295,0,0,0
0.63089,139.91,0,0,0
0.64089,137.72733,0,0,0
0.65089,135.61173,0,0,0
0.66089,133.56014,0,0,0
0.67089,131.5697,0,0,0
0.68088,129.63771,0,0,0
0.69088,127.76165,0,0,0
0.70088,125.93911,0,0,0
0.71088,124.16783,0,0,0
0.72088,122.4457,0,0,0
0.73088,120.77067,0,0,0
0.74087,119.14086,0,0,0
0.75087,117.55446,0,0,0
0.76087,116.00974,0,0,0
0.77087,114.5051,0,0,0
0.78087,113.03899,0,0,0
0.79087,111.60995,0,0,0
0.80086,110.21659,0,0,0
0.81086,108.85759,0,0,0
0.82086,107.53169,0,0,0
0.83086,106.23771,0,0,0
0.84086,104.97451,0,0,0
0.85085,103.74099,0,0,0
0.86085,102.53612,0,0,0
0.87085,101.35892,0,0,0
0.88085,100.20844,0,0,0
0.89085,99.08379,0,0,0
0.90085,97.9841,0,0,0
0.91084,96.90856,0,0,0
